group_id	group_size	sp_in_grp	seed_ortholog_cnt	a_nosocomialis.faa	a_pittii.faa	a_pragensis.faa	ab_17978.faa	ab_19606.faa
1	28	5	28	WP_002049919.1,WP_002051051.1,WP_022574578.1,WP_022574883.1,WP_022575235.1,WP_022575283.1	WP_000190710.1,WP_001059480.1,WP_002113827.1,WP_002113866.1,WP_002114248.1,WP_002118899.1,WP_002118958.1,WP_002121905.1	WP_067670928.1	WP_000116129.1,WP_000163845.1,WP_000190709.1,WP_000880601.1,WP_000926499.1,WP_001017890.1	WP_000101935.1,WP_000116132.1,WP_000163857.1,WP_000190710.1,WP_000880601.1,WP_000926496.1,WP_001024688.1
2	27	5	27	WP_004711744.1,WP_022574358.1,WP_022574979.1,WP_022575062.1,WP_022575079.1,WP_022576041.1	WP_000615686.1,WP_002118063.1,WP_002120481.1,WP_005803007.1,WP_017481349.1,WP_019767430.1	WP_067667962.1,WP_106386922.1	WP_000071645.1,WP_000615696.1,WP_001040549.1,WP_001092389.1,WP_001181821.1,WP_001286300.1	WP_000071652.1,WP_000615686.1,WP_001040549.1,WP_001092381.1,WP_001176547.1,WP_001181814.1,WP_001286303.1
3	24	5	24	WP_004885833.1,WP_017392935.1,WP_022574372.1,WP_022574679.1,WP_022574772.1,WP_022575608.1	WP_002114164.1,WP_002121393.1,WP_005078744.1,WP_019767682.1	WP_067668357.1,WP_067669674.1,WP_067672717.1	WP_000060343.1,WP_000174421.1,WP_000573229.1,WP_000894315.1,WP_001109738.1,WP_005134895.1	WP_000060345.1,WP_000174405.1,WP_000573220.1,WP_000894332.1,WP_001109739.1
4	21	5	21	WP_000389458.1,WP_006581456.1,WP_022574449.1,WP_022574475.1,WP_031945701.1,WP_201766487.1	WP_002114364.1,WP_005073644.1,WP_005802827.1,WP_019767780.1,WP_019767847.1	WP_067666947.1,WP_067667048.1,WP_067671020.1	WP_000389457.1,WP_000659363.1,WP_005135229.1	WP_000224811.1,WP_000389451.1,WP_001032984.1,WP_002060634.1
5	21	5	21	WP_017393971.1,WP_022574756.1,WP_022574903.1,WP_022575428.1,WP_031225076.1	WP_002114565.1,WP_002115153.1,WP_019767757.1	WP_067666966.1,WP_067670886.1,WP_067671854.1	WP_000121939.1,WP_000207248.1,WP_000272926.1,WP_000432325.1,WP_001131942.1	WP_000121945.1,WP_000207243.1,WP_000272929.1,WP_000365670.1,WP_000432325.1
6	20	5	20	WP_001153625.1,WP_022574848.1,WP_080660859.1	WP_002120549.1,WP_005802836.1,WP_019767748.1,WP_019768085.1	WP_067668212.1,WP_171254430.1	WP_000092890.1,WP_000174664.1,WP_000572517.1,WP_001153625.1,WP_081405555.1	WP_000092890.1,WP_000174668.1,WP_000572510.1,WP_001049495.1,WP_001153627.1,WP_080631563.1
7	19	5	19	WP_004887872.1,WP_022574990.1,WP_022575876.1,WP_022576042.1,WP_080660885.1	WP_002117401.1,WP_005803233.1,WP_019767868.1,WP_023187880.1,WP_031946000.1	WP_162492938.1	WP_000131427.1,WP_000380902.1,WP_005135515.1,WP_109104933.1	WP_000131443.1,WP_000380899.1,WP_001058609.1,WP_001983614.1
8	19	5	19	WP_022574453.1,WP_022574852.1,WP_022575782.1	WP_002113745.1,WP_019767901.1,WP_019768000.1	WP_067665179.1,WP_067668214.1	WP_000042111.1,WP_000234449.1,WP_000932297.1,WP_005135215.1,WP_049594857.1	WP_000042110.1,WP_000123062.1,WP_000152487.1,WP_000234419.1,WP_000932301.1,WP_001072702.1
9	18	5	18	WP_016805257.1,WP_022574886.1,WP_080660857.1,WP_201766486.1	WP_002114514.1,WP_002116353.1,WP_005802384.1,WP_023187918.1	WP_067665404.1,WP_067670940.1,WP_227509765.1	WP_000362915.1,WP_086223113.1,WP_182925259.1	WP_000362917.1,WP_000733488.1,WP_100223337.1,WP_185218769.1
10	18	5	18	WP_022574503.1,WP_022574559.1,WP_022575219.1,WP_022575233.1,WP_022575370.1	WP_002113644.1,WP_002118118.1,WP_002118518.1,WP_002118960.1,WP_019767981.1	WP_067672572.1	WP_000561670.1,WP_000987595.1,WP_001027060.1,WP_005134866.1	WP_000949246.1,WP_000987607.1,WP_001027059.1
11	17	5	17	WP_000009973.1,WP_000238446.1,WP_022574405.1,WP_022575764.1	WP_002113744.1,WP_005803011.1,WP_019767727.1,WP_019767979.1	WP_067667394.1	WP_000009977.1,WP_000238445.1,WP_000697826.1,WP_001140455.1	WP_000009975.1,WP_000238432.1,WP_000697819.1,WP_001140449.1
12	17	5	17	WP_002048985.1,WP_022574923.1,WP_022575372.1,WP_022575489.1,WP_022576036.1	WP_002114210.1,WP_002118242.1,WP_002122195.1,WP_016803015.1	WP_067670272.1	WP_000357064.1,WP_000890088.1,WP_002000718.1	WP_000357083.1,WP_000546789.1,WP_000890088.1,WP_002000718.1
13	17	5	17	WP_002050031.1,WP_016804275.1,WP_022574712.1,WP_022575075.1	WP_002114420.1,WP_002118474.1,WP_002121409.1,WP_017481350.1	WP_067668207.1	WP_000267733.1,WP_000889007.1,WP_001025081.1,WP_005135381.1	WP_000267735.1,WP_000810596.1,WP_000889007.1,WP_001025080.1
14	17	5	17	WP_002050482.1,WP_002052892.1,WP_080660860.1,WP_085946335.1	WP_002118023.1,WP_002118750.1,WP_005802857.1,WP_019768080.1	WP_067669539.1	WP_000179000.1,WP_000205430.1,WP_000339846.1,WP_074031673.1	WP_000178994.1,WP_000205436.1,WP_000339846.1,WP_001984920.1
15	17	5	17	WP_004711521.1,WP_006581588.1,WP_022575077.1,WP_022575078.1	WP_002121917.1,WP_005803043.1,WP_005803045.1,WP_023187688.1	WP_067669939.1	WP_000179784.1,WP_000243372.1,WP_001139472.1,WP_002041792.1	WP_000179784.1,WP_000243381.1,WP_001139471.1,WP_001984224.1
16	17	5	17	WP_004888239.1,WP_022574626.1,WP_022575630.1	WP_002117740.1,WP_017481355.1,WP_023187861.1	WP_067668900.1,WP_067672303.1,WP_106386953.1	WP_000364485.1,WP_000831249.1,WP_005135700.1,WP_049594822.1	WP_000044170.1,WP_000364473.1,WP_000831231.1,WP_001189915.1
17	17	5	17	WP_022574394.1,WP_022575063.1,WP_080660964.1	WP_005803013.1,WP_014207808.1,WP_019767714.1	WP_067665526.1,WP_067667020.1,WP_067667022.1,WP_067669187.1,WP_067671162.1	WP_000814775.1,WP_000988617.1,WP_085943440.1	WP_000814791.1,WP_000988610.1,WP_085916958.1
18	17	5	17	WP_022574720.1,WP_022575546.1,WP_022575560.1	WP_002115668.1,WP_017481374.1,WP_019767654.1	WP_067665423.1,WP_067665896.1,WP_067667054.1,WP_067667630.1,WP_067668226.1	WP_000381292.1,WP_001082095.1,WP_001170327.1	WP_000381293.1,WP_001082090.1,WP_001170309.1
19	17	4	17	WP_022574783.1,WP_022575329.1,WP_022575415.1,WP_031224767.1,WP_031225094.1	WP_002118523.1,WP_019767524.1,WP_019767787.1,WP_023187917.1	*	WP_001133229.1,WP_001133242.1,WP_001133272.1,WP_049594830.1	WP_001133073.1,WP_001133277.1,WP_001246783.1,WP_002134901.1
20	16	5	16	WP_000116037.1,WP_002048307.1,WP_004886986.1	WP_000608696.1,WP_002114302.1,WP_023187869.1	WP_067666135.1,WP_067667634.1,WP_067671310.1,WP_067672262.1	WP_000121790.1,WP_005135192.1	WP_000116039.1,WP_000121755.1,WP_000121757.1,WP_000608703.1
21	16	5	16	WP_000654310.1,WP_002053421.1,WP_004711568.1,WP_022574820.1	WP_001983845.1,WP_002115061.1	WP_067668890.1	WP_000024055.1,WP_000128772.1,WP_000654307.1,WP_001029768.1,WP_001983845.1	WP_000128771.1,WP_001029769.1,WP_001140302.1,WP_001983845.1
22	16	5	16	WP_000675273.1,WP_022574901.1,WP_031224707.1,WP_031225315.1	WP_000061143.1,WP_005803085.1,WP_016806122.1	WP_067669995.1	WP_000061132.1,WP_000675263.1,WP_001984002.1,WP_074031662.1	WP_000061134.1,WP_000675277.1,WP_001984002.1,WP_001985004.1
23	16	5	16	WP_004711757.1,WP_017398236.1	WP_002114463.1,WP_019767435.1,WP_019767593.1	WP_067667225.1,WP_067670281.1	WP_000089870.1,WP_000355659.1,WP_000886385.1,WP_001041365.1,WP_001153333.1	WP_000089881.1,WP_000355650.1,WP_000886383.1,WP_001041371.1
24	16	5	16	WP_022574406.1,WP_022574450.1,WP_022574719.1,WP_022574976.1	WP_002113615.1,WP_002163168.1,WP_017481373.1,WP_019767728.1	WP_067666886.1,WP_067667618.1,WP_067670890.1,WP_067671304.1	WP_000421429.1,WP_005135181.1	WP_000418528.1,WP_000421431.1
25	16	5	16	WP_022574690.1,WP_022575333.1,WP_022575624.1,WP_022575917.1	WP_002115984.1,WP_002163157.1,WP_005803313.1,WP_019767693.1	WP_067672084.1,WP_067672219.1	WP_000403826.1,WP_000954520.1,WP_001010557.1	WP_000403826.1,WP_001010546.1,WP_031949784.1
26	15	5	15	WP_000095311.1,WP_022574392.1,WP_022574421.1	WP_023187868.1,WP_023187888.1	WP_067666132.1,WP_067667622.1,WP_067667711.1,WP_067668187.1	WP_000095308.1,WP_005135170.1,WP_005135190.1	WP_000095308.1,WP_000172911.1,WP_000786448.1
27	15	5	15	WP_001018517.1,WP_002053449.1,WP_004925095.1,WP_022574652.1,WP_022574653.1	WP_000885432.1,WP_002117898.1,WP_002118000.1	WP_067666774.1	WP_000525670.1,WP_000525865.1,WP_000885431.1	WP_000525674.1,WP_000525862.1,WP_000885431.1
28	15	5	15	WP_002051318.1,WP_006582570.1,WP_022574819.1	WP_002113554.1,WP_002116152.1,WP_014207799.1	WP_067672271.1	WP_000065455.1,WP_001023281.1,WP_001039795.1,WP_001196264.1	WP_000065455.1,WP_001023278.1,WP_001039791.1,WP_001196273.1
29	15	5	15	WP_004709868.1,WP_017398184.1,WP_022575641.1	WP_002121049.1,WP_002163169.1,WP_017481400.1	WP_067672395.1	WP_000102858.1,WP_000226456.1,WP_000626177.1,WP_000844947.1,WP_001090404.1	WP_000226454.1,WP_000626177.1,WP_000844947.1
30	14	5	14	WP_000126912.1,WP_002048761.1,WP_002054492.1	WP_000126912.1,WP_002115279.1,WP_005070223.1	WP_004648643.1,WP_067668384.1,WP_067670082.1	WP_000072673.1,WP_000126912.1	WP_000071892.1,WP_000072673.1,WP_000126912.1
31	14	5	14	WP_001279871.1,WP_002054205.1,WP_227501310.1	WP_001279871.1	WP_067667080.1,WP_067669528.1,WP_067669789.1,WP_067669791.1	WP_000067033.1,WP_001030690.1,WP_001279871.1,WP_001987856.1	WP_001030690.1,WP_001279871.1
32	14	5	14	WP_002050172.1,WP_002053339.1,WP_022574912.1	WP_001180108.1,WP_002113716.1,WP_005066014.1	WP_067665426.1,WP_067666989.1	WP_000423241.1,WP_000568093.1,WP_001047843.1	WP_000423241.1,WP_000568098.1,WP_001047848.1
33	14	5	14	WP_004709076.1,WP_022574542.1,WP_022574703.1,WP_022575373.1	WP_000881922.1,WP_002114258.1,WP_002118234.1	WP_067670776.1	WP_000010369.1,WP_000881926.1,WP_001153960.1	WP_000010368.1,WP_000881924.1,WP_001153959.1
34	14	5	14	WP_022575566.1,WP_022576052.1	WP_002115171.1,WP_002118594.1,WP_019767389.1,WP_019767816.1	WP_067667082.1,WP_067668847.1	WP_000806365.1,WP_000997094.1,WP_001018258.1	WP_000026861.1,WP_000806358.1,WP_001018262.1
35	13	5	13	WP_000128703.1,WP_002051055.1,WP_017392701.1	WP_002113815.1,WP_005803109.1,WP_017399974.1	WP_067670098.1	WP_000003555.1,WP_000105395.1,WP_000128703.1	WP_000003555.1,WP_000105384.1,WP_000128703.1
36	13	5	13	WP_000203777.1,WP_022575084.1,WP_022575524.1	WP_005803057.1,WP_019767864.1,WP_023187828.1	WP_067665256.1	WP_000203775.1,WP_001075430.1,WP_001271336.1	WP_000203771.1,WP_001075436.1,WP_001271336.1
37	13	5	13	WP_000542615.1,WP_022574613.1,WP_022575231.1,WP_080660893.1	WP_002113902.1	WP_067672156.1,WP_161485907.1	WP_000542605.1,WP_000616843.1,WP_000825826.1	WP_000542611.1,WP_000825836.1,WP_001048908.1
38	13	5	13	WP_001254610.1,WP_004709605.1,WP_022575163.1	WP_005073761.1,WP_005803334.1,WP_016802633.1	WP_067668150.1	WP_000380238.1,WP_001049889.1,WP_001254610.1	WP_000380238.1,WP_001049897.1,WP_001254603.1
39	13	5	13	WP_001984522.1,WP_022574443.1,WP_022574444.1	WP_019767769.1,WP_019767770.1,WP_031945662.1	WP_067669256.1	WP_000153882.1,WP_001166494.1,WP_001984522.1	WP_000584779.1,WP_001166491.1,WP_001984522.1
40	13	5	13	WP_002050146.1,WP_006582600.1	WP_002116968.1,WP_002117915.1,WP_005802146.1	WP_067667754.1,WP_067669310.1	WP_000323486.1,WP_001176606.1,WP_001241480.1	WP_000323486.1,WP_001176608.1,WP_001241480.1
